,Title,Author,Score,Votes,Average Rating
0,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,3339127,34002,4.32
1,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,2883646,29469,4.5
2,Pride and Prejudice,Jane Austen,2354965,24208,4.28
3,To Kill a Mockingbird,Harper Lee,2246479,22944,4.27
4,The Book Thief,Markus Zusak,1601678,16494,4.39
5,"Twilight (The Twilight Saga, #1)",Stephenie Meyer,1566976,15970,3.63
6,Animal Farm,George Orwell,1423085,14762,3.97
7,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,1340822,13994,4.27
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1315987,13693,4.61
9,The Fault in Our Stars,John Green,1215804,12602,4.16
10,Gone with the Wind,Margaret Mitchell,1126505,11612,4.3
11,The Giving Tree,Shel Silverstein,1093759,11336,4.37
12,Wuthering Heights,Emily Brontë,1076447,11254,3.88
13,The Picture of Dorian Gray,Oscar Wilde,1033866,10852,4.11
14,Jane Eyre,Charlotte Brontë,942939,9937,4.14
15,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,935380,9838,3.89
16,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,931942,9833,4.47
17,The Perks of Being a Wallflower,Stephen Chbosky,922357,9652,4.22
18,Memoirs of a Geisha,Arthur Golden,903847,9417,4.14
19,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,900619,9501,4.06
20,The Great Gatsby,F. Scott Fitzgerald,887361,9508,3.93
21,Les Misérables,Victor Hugo,870861,9148,4.19
22,"Divergent (Divergent, #1)",Veronica Roth,870233,9138,4.16
23,The Little Prince,Antoine de Saint-Exupéry,852779,9061,4.32
24,Crime and Punishment,Fyodor Dostoevsky,846961,8842,4.25
25,Lord of the Flies,William Golding,831639,8840,3.69
26,Romeo and Juliet,William Shakespeare,820379,8796,3.74
27,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,814271,8606,4.29
28,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,784190,8245,4.08
29,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,783733,8257,4.29
30,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,764312,7918,4.23
31,The Help,Kathryn Stockett,762852,8156,4.47
32,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,751429,7836,4.3
33,Charlotte's Web,E.B. White,731586,7895,4.19
34,Of Mice and Men,John Steinbeck,719075,7756,3.88
35,Dracula,Bram Stoker,711331,7665,4.01
36,The Alchemist,Paulo Coelho,690383,7201,3.9
37,The Time Traveler's Wife,Audrey Niffenegger,680838,7124,3.99
38,Brave New World,Aldous Huxley,680072,7297,3.99
39,The Catcher in the Rye,J.D. Salinger,674751,7277,3.81
40,One Hundred Years of Solitude,Gabriel García Márquez,672228,7072,4.1
41,Fahrenheit 451,Ray Bradbury,660939,7020,3.98
42,A Thousand Splendid Suns,Khaled Hosseini,650339,6888,4.41
43,The Princess Bride,William Goldman,641377,6830,4.26
44,The Secret Garden,Frances Hodgson Burnett,635564,6974,4.15
45,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,616569,6580,4.44
46,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,595881,6367,3.99
47,The Outsiders,S.E. Hinton,587699,6333,4.11
48,The Odyssey,Homer,546816,5992,3.79
49,The Adventures of Huckleberry Finn,Mark Twain,537744,5918,3.83
50,The Lovely Bones,Alice Sebold,533939,5762,3.84
51,Where the Wild Things Are,Maurice Sendak,527998,5753,4.23
52,Green Eggs and Ham,Dr. Seuss,522701,5747,4.3
53,Life of Pi,Yann Martel,517135,5590,3.93
54,A Tale of Two Cities,Charles Dickens,514572,5641,3.86
55,The Kite Runner,Khaled Hosseini,512157,5565,4.33
56,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,502298,5587,3.84
57,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,499581,5464,4.13
58,Little Women,Louisa May Alcott,497683,5567,4.13
